ID;Control;Caption1;Caption2;Drawing artist;Copyright;Author1;Author2;Author3;Author4;Year;Title;Journal;Volume;Field0;ControlPublication
64;Fig. 64 Cassia javanica L., Leguminosae-Caesalpinioideae;"A: rama con hojas; B: inflorescencia; C: fruto.";Dibujado según W. Berendsohn 1116 [JBL00699] (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
65;Fig. 65 Cassia moschata Kunth, Leguminosae-Caesalpinioideae;"A: rama con hojas; B: inflorescencia; C: flor; D: fruto.";Dibujado según R. Villacorta 773 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
66;Fig. 66 Chamaecrista zygophylloides var. deamii (Britton & Rose) H.S.Irwin & Barneby, Leguminosae-Caesalpinioideae;"A: rama con hojas e inflorescencia; B: flor; C: fruto.";"A, B según D. Rodríguez & al. 487 (LAGU); C según A. K. Monro & K. Sidwell 2804 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
67;Fig. 67 Crudia choussyana (Standl.) Standl., Leguminosae-Caesalpinioideae;"A: rama con hojas e inflorescencia; B: flor; C: frutos; D: pecíolo.";"A, B, D según A. K. Monro & al. 3651 (LAGU); C según D. Rodríguez & G. Trejo 199 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
68;Fig. 68 Delonix regia (Bojer ex Hook.) Raf., Leguminosae-Caesalpinioideae;"A: rama con hojas; B: inflorescencia; C: flor; D: fruto.";"A, B, C según R. Cruz 46 (LAGU); D según V. M. Martínez s.n. [CMC00444] (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
69;Fig. 69 Parkinsonia aculeata L., Leguminosae-Caesalpinioideae;"A: rama con hojas e inflorescencia; B: flor; C: frutos.";Dibujado según E. López s.n. [JBL00708] (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
70;Fig. 70 Saraca indica L., Leguminosae-Caesalpinoideae;"A: rama con hoja e inflorescencia; B: fruto.";"A según D. Rodríguez & al. 757 (LAGU); B según M. Renderos & R. Villacorta 281 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
71;Fig. 71 Schizolobium parahyba (Vell.) S.F.Blake, Leguminosae-Caesalpinioideae;"A: rama con hoja; B: inflorescencia; C: flor; D: frutos.";"A, D según R. Cruz s.n. [WB-00496] (LAGU); B, C según R. Villacorta 2263 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
72;Fig. 72 Senna alata (L.) Roxb., Leguminosae-Caesalpinioideae;"A: hoja; B: inflorescencia; C: flor; D: frutos (alados).";Dibujado según M. Renderos 350 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
73;Fig. 73 Senna guatemalensis var. oligantha H.S.Irwin & Barneby, Leguminosae-Caesalpinioideae;"A: rama con hojas e inflorescencia; B: flor; C: frutos; D: par proximal de folíolos con nectario.";Dibujado según W. Berendsohn & al. 1587 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
74;Fig. 74 Senna hayesiana (Britton & Rose) H.S.Irwin & Barneby, Leguminosae-Caesalpinioideae;"A: rama con hojas e inflorescencia; B: frutos; C: flor; D: par proximal de folíolos con nectario.";"A, C, D según J. C. González 423 (LAGU); B según R. Cruz 153 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
75;Fig. 75 Senna pallida (Vahl) H.S.Irwin & Barneby var. pallida, Leguminosae-Caesalpinioideae;"A: rama con hojas e inflorescencias; B: flor; C: fruto; D: par proximal de folíolos con nectario.";"A, B, D según R. Villacorta & W. Berendsohn 1292 (LAGU); C según S. Martínez s.n. [ISF00100] (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
76;Fig. 76 Senna pallida var. quiedondilla (Micheli) H.S.Irwin & Barneby, Leguminosae-Caesalpinioideae;"A: rama con hojas y flor; B: frutos; C: par proximal de folíolos con nectario; D: estípulas (de inflorescencia).";"A, C, D según R. Martínez s.n. [JBL04783] (LAGU); B según G. P. Lewis & al. 1729 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
77;Fig. 77 Senna pendula var. advena (Vogel) H.S.Irwin & Barneby, Leguminosae-Caesalpinioideae;"A: rama con hojas e inflorescencias; B: flor; C: frutos; D: par proximal de folíolos con nectario.";"A, B, D según V. M. Martínez s.n. [CMC0478] (LAGU); C según P. Lemus s.n. [WB-01283] (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
78;Fig. 78 Senna septemtrionalis (Viv.) H.S.Irwin & Barneby, Leguminosae-Caesalpinioideae;"A: rama con hojas e inflorescencia; B: flor; C: fruto; D: par proximal de folíolos con nectario.";Dibujado según R. Villacorta & al. 330 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
79;Fig. 79 Senna siamea (Lam.) H.S.Irwin & Barneby, Leguminosae-Caesalpinioideae;"A: rama con hojas e inflorescencia; B: flor; C: fruto.";"A, B según M. Renderos 528 (LAGU); C según E. Sandoval 1751 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
80;Fig. 80 Senna spectabilis (DC.) H.S.Irwin & Barneby var. spectabilis, Leguminosae-Caesalpinioideae;"A: rama con hojas; B: inflorescencia; C: fruto.";"A, B según D. Rodríguez & al. 551(LAGU); C según A. K. Monro & al. 3588 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
81;Fig. 81 Tamarindus indica L., Leguminosae-Caesalpinioideae;"A: rama con hojas; B: inflorescencia; C: fruto.";"A según M. Renderos 534 (LAGU); B, C según R. Villacorta s.n. [JBL00531] (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
82;Fig. 82 Acacia mangium Willd., Leguminosae-Mimosoideae;"A: rama con hojas e inflorescencias; B: inflorescencia; C: flor; D: frutos.";"A, B, C según M. Cortez s.n. [RV-01145] (LAGU); D según M. Renderos & R. Villacorta 122 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
83;Fig. 83 Acacia pennatula (Schltdl. & Cham.) Benth. subsp. pennatula, Leguminosae-Mimosoideae;"A: rama con hojas e inflorescencias; B: inflorescencia; C: flor; D: frutos; E: folíolo; F: nectario peciolar.";"A, E, F según V. M. Martínez s.n. [CMC00179] (LAGU); B, C según G. P. Lewis & al. 1743 (LAGU); D según E. A. Montalvo & al. 6327 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
84;Fig. 84 Acacia polyphylla DC. var. polyphylla, Leguminosae-Mimosoideae;"A: rama con hoja e inflorescencias; B: inflorescencia; C: flor; D: fruto; E: nectario peciolar, F: nectario entre pinnas.";"A, E, F según S. Castillo s.n. [ISF00435] (LAGU); B, C según R. Cruz s.n. [WB-00543] (LAGU); D según K. Sidwell & al. 581 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
85;Fig. 85 Acacia riparia Kunth var. riparia, Leguminosae-Mimosoideae;"A: rama con hojas e inflorescencias; B: inflorescencia; C: flor; D: frutos; E: nectario peciolar, F: nectario entre pinnas; G: folíolo.";"A, B, C, E, F, G según J. C. González 182 (LAGU); D según G. P. Lewis & al. 1741 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
86;Fig. 86 Acaciella angustissima (Mill.) Britton & Rose var. angustissima, Leguminosae-Mimosoideae;"A: rama con hoja y racimo de inflorescencias; B: inflorescencia; C: flor; D: frutos, E: bases de pinnas; F: envés de folíolo.";"A, E, F según W. Berendsohn & al. 1625 (LAGU); B, C según M. Renderos & al. 340 (LAGU); D según K. Sidwell & al. 864 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
87;Fig. 87 Acaciella villosa (Sw.) Britton & Rose, Leguminosae-Mimosoideae;"A: rama con hoja e inflorescencias; B: inflorescencia; C: flor; D: fruto; E: detalle de folíolo.";"A, B, C, E según R. A. Carballo & al. s.n. [JBL04222] (LAGU); D según A. G. Palomo s.n. [JBL04458] (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
88;Fig. 88 Albizia adinocephala (Donn.Sm.) Britton & Rose ex Record, Leguminosae-Mimosoideae;"A: rama con hojas e inflorescencias; B: inflorescencia; C: nectario peciolar; D: frutos; E: flor.";"A, B, C, E según A. Sermeño 177 [JBL01102] (LAGU); D según R. Cruz s.n. [WB-00497] (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
89;Fig. 89 Albizia carbonaria Britton, Leguminosae-Mimosoideae;"A: rama con hojas e inflorescencias; B: inflorescencia; C: flor; D: frutos; E: nectario peciolar.";Dibujado según M. Renderos 524 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
90;Fig. 90 Albizia xerophytica J.Linares, Leguminosae-Mimosoideae;"A: rama con hojas e inflorescencias; B: inflorescencia; C: flor; D: fruto; E: nectario peciolar.";"A, B, C, E según V. M. Martínez s.n. [CMC01147] (LAGU); D según V. M. Martínez s.n. [CMC01154] (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
91;Fig. 91 Calliandra caeciliae Harms, Leguminosae-Mimosoideae;"A: rama con hojas e inflorescencias (en botones); B: flor; C: fruto; D: folíolo.";"A, B, D según D. Rodríguez & al. 478 (LAGU); C según R. Villacorta & al. 2767 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
92;Fig. 92 Calliandra calothyrsus Meisn., Leguminosae-Mimosoideae;"A: rama con hojas e inflorescencia; B: parte de inflorescencia (en botón); C: flor; D: frutos.";"A, D según E. Sandoval 1268 (LAGU); B, C según E. Sandoval s.n. [MS-00365] (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
93;Fig. 93 Calliandra grandiflora (L'Hér.) Benth., Leguminosae-Mimosoideae;"A: rama con hojas e inflorescencia; B: folíolos; C: flor; D: frutos.";Dibujado según W. Berendsohn & al. 1129 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
94;Fig. 94 Calliandra houstoniana (Mill.) Standl., Leguminosae-Mimosoideae;"A: rama con hojas e inflorescencia; B: flor; C: folíolos; D: frutos.";"A, B, C según M. Smeets & al. MART 22 [MAG00022] (LAGU); D según J. Monterrosa & al. 1315 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
95;Fig. 95 Calliandra surinamensis Benth., Leguminosae-Mimosoideae;"A: rama con hojas e inflorescencias; B: flor; C: frutos.";"A según W. Berendsohn & B. Pfeiffer-Berendsohn 90 (LAGU); B según R. G. Cruz s.n. [JBL04568] (LAGU); C según M. Renderos & R. Villacorta 304 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
